CustomerID,Gender,Age,Tenure,SubscriptionType,ContractType,MonthlyCharges,TotalCharges,PaymentMethod,LoginFrequency,SupportTickets,LastActiveDate,Churn
CUST101959,Male,65,12,Standard,One year,48.76,590.41,E-check,11,1.0,2026-07-28,Yes
CUST100672,Female,19,42,Premium,Month-to-month,79.35,3324.82,Bank transfer,9,0.0,2026-06-25,No
CUST101037,Male,49,19,Standard,One year,42.35,787.04,Credit card,17,0.0,2026-07-03,No
CUST100945,Male,33,50,Standard,Month-to-month,49.42,2461.85,Credit card,12,0.0,2026-07-14,No
CUST100544,Male,37,71,Basic,Month-to-month,34.47,2438.49,Mailed check,9,0.0,2026-07-10,No
CUST101696,Male,69,37,Premium,One year,93.78,3486.19,Mailed check,8,2.0,2026-07-12,Yes
CUST101669,Female,47,70,Basic,Two year,31.22,2170.17,E-check,11,1.0,2026-07-02,No
CUST100606,Male,37,10,Basic,Month-to-month,19.87,200.69,Unknown,9,2.0,2026-04-03,Yes
CUST100501,Male,67,13,Standard,Month-to-month,68.22,907.87,Bank transfer,18,1.0,2026-07-13,Yes
CUST101495,Male,57,42,Standard,Month-to-month,50.01,2144.65,Mailed check,12,0.0,2026-07-27,Yes
CUST101817,Male,49,47,Premium,Month-to-month,90.55,4262.46,Bank transfer,15,3.0,2026-07-30,No
CUST101244,Male,52,36,Standard,Month-to-month,57.73,2073.15,Bank transfer,15,1.0,2026-07-31,Yes
CUST100241,Male,67,24,Standard,Month-to-month,52.18,1228.7,E-check,14,2.0,2026-07-24,Yes
CUST100876,Female,52,39,Standard,One year,53.94,2106.94,E-check,12,4.0,2026-07-19,Yes
CUST101374,Male,46,38,Standard,One year,48.38,1857.5,E-check,7,0.0,2026-07-13,No
CUST100694,Female,29,56,Basic,One year,37.86,2131.3,Bank transfer,9,1.0,2026-07-28,No
CUST100284,Female,49,48,Basic,Month-to-month,23.61,1106.23,Credit card,10,0.0,2026-05-16,No
CUST100412,Female,42,4,Premium,Month-to-month,87.79,361.55,E-check,12,1.0,2026-07-07,No
CUST101304,Female,21,64,Premium,Two year,86.71,5560.83,Credit card,5,0.0,2026-07-12,No
CUST101411,Female,61,22,Basic,Month-to-month,38.28,831.92,Bank transfer,13,2.0,2026-08-01,No
CUST101981,Female,72,12,Basic,Month-to-month,19.81,224.04,Mailed check,15,1.0,2026-07-27,No
CUST101841,Female,66,57,Standard,Month-to-month,63.84,3614.7,Bank transfer,13,1.0,2026-07-26,No
CUST101442,Female,68,4,Premium,One year,78.82,288.41,E-check,8,1.0,2026-07-29,No
CUST100339,Female,71,64,Basic,One year,34.72,2186.48,E-check,10,0.0,2026-07-13,No
CUST100363,Female,28,5,Standard,One year,44.84,202.81,E-check,9,2.0,2026-08-01,Yes
CUST100903,Male,53,2,Standard,One year,41.03,86.69,Credit card,9,0.0,2026-07-05,No
CUST101011,Male,27,4,Standard,Two year,32.47,182.82,Mailed check,10,1.0,2026-07-15,No
CUST101678,Female,41,12,Standard,Two year,53.72,636.9,Credit card,13,3.0,2026-07-25,No
CUST100735,Male,72,46,Premium,Month-to-month,91.04,4190.83,E-check,14,2.0,2026-07-27,Yes
CUST100386,Male,37,10,Basic,Month-to-month,31.77,308.41,E-check,11,0.0,2026-08-01,No
CUST101508,Female,38,20,Premium,Month-to-month,100.23,2013.91,E-check,5,1.0,2026-07-20,No
CUST101149,Male,74,49,Basic,One year,21.6,1038.79,E-check,9,2.0,2026-06-14,No
CUST100837,Male,51,9,Standard,Month-to-month,45.54,427.79,Credit card,13,1.0,2026-07-20,Yes
CUST101663,Male,72,39,Standard,Month-to-month,46.62,1827.21,Mailed check,16,0.0,2026-07-22,No
CUST100638,Female,32,2,Basic,Month-to-month,23.13,79.27,Bank transfer,14,0.0,2026-08-01,No
CUST101170,Female,67,27,Premium,Month-to-month,100.89,2719.6,E-check,14,0.0,2026-07-27,No
CUST101637,Male,52,9,Basic,One year,15.09,139.14,Credit card,9,0.0,2026-07-27,Yes
CUST101445,Male,22,49,Basic,Month-to-month,29.79,1505.31,Mailed check,10,1.0,2026-07-27,Yes
CUST101279,Female,36,64,Standard,One year,54.07,3434.79,Mailed check,11,1.0,2026-07-12,No
CUST100299,Female,49,66,Standard,One year,61.9,4095.85,Mailed check,14,2.0,2026-07-27,No
CUST100976,Female,71,32,Premium,Month-to-month,94.88,3053.46,Bank transfer,16,1.0,2026-07-06,No
CUST101858,Male,50,2,Standard,Month-to-month,52.69,102.6,Credit card,12,1.0,2026-07-31,Yes
CUST100108,Female,33,37,Premium,Two year,76.7,2846.12,E-check,8,2.0,2026-07-15,No
CUST101471,Female,58,58,Basic,Month-to-month,34.69,2008.07,Bank transfer,16,2.0,2026-07-21,No
CUST101582,Male,18,50,Basic,Month-to-month,35.18,1737.07,Mailed check,15,1.0,2026-07-22,No
CUST100517,Female,56,55,Basic,Month-to-month,39.28,2178.76,Mailed check,8,2.0,2026-07-30,No
CUST101016,Female,27,4,Basic,Month-to-month,40.41,155.83,E-check,16,0.0,2026-07-14,No
CUST101015,Female,53,5,Basic,Two year,20.42,113.01,Mailed check,11,2.0,2026-06-24,No
CUST101183,Female,40,17,Standard,Month-to-month,68.49,1125.61,Mailed check,13,1.0,2026-07-19,No
CUST101229,Male,42,57,Premium,One year,106.08,6085.29,Bank transfer,9,0.0,2026-07-26,No
CUST101972,Male,20,43,Premium,Month-to-month,82.44,3563.76,E-check,4,0.0,2026-07-28,No
CUST101531,Female,57,63,Standard,Month-to-month,41.48,2635.79,Mailed check,12,1.0,2026-07-05,No
CUST101605,Male,26,14,Basic,Month-to-month,21.27,346.36,Credit card,10,1.0,2026-07-24,Yes
CUST101465,Female,20,66,Basic,Month-to-month,41.75,2764.15,E-check,9,0.0,2026-08-01,No
CUST101497,Female,72,19,Premium,One year,85.83,1633.82,Bank transfer,17,1.0,2026-07-28,No
CUST101330,Female,19,52,Basic,Month-to-month,36.21,1904.21,Mailed check,13,3.0,2026-07-19,No
CUST100330,Male,53,10,Standard,Month-to-month,51.62,554.39,E-check,11,3.0,2026-07-24,No
CUST101431,Male,57,69,Premium,Month-to-month,88.96,6164.23,Credit card,14,2.0,2026-07-26,No
CUST100229,Male,22,0,Standard,Two year,53.45,0.0,E-check,12,0.0,2026-05-28,Yes
CUST100172,Male,58,21,Standard,Month-to-month,54.82,1161.97,Bank transfer,12,1.0,2026-07-26,No
CUST100450,Female,26,46,Basic,One year,29.76,1372.71,E-check,4,0.0,2026-07-15,No
CUST101524,Male,64,43,Premium,Month-to-month,86.33,3696.05,Credit card,15,1.0,2026-07-16,No
CUST100127,Male,67,54,Standard,One year,57.54,3135.96,Mailed check,16,1.0,2026-07-27,No
CUST101064,Female,59,21,Premium,One year,101.36,2117.91,E-check,20,1.0,2026-07-27,No
CUST100037,Male,70,33,Standard,Month-to-month,57.54,1887.99,E-check,7,2.0,2026-07-09,No
CUST100426,Male,25,32,Standard,Month-to-month,43.76,1415.38,E-check,15,3.0,2026-07-10,No
CUST100204,Female,54,19,Basic,Month-to-month,26.13,476.88,Mailed check,13,0.0,2026-05-15,No
CUST101249,Female,70,44,Standard,Month-to-month,50.59,2226.83,Bank transfer,9,2.0,2026-07-12,Yes
CUST100185,Male,37,11,Basic,Month-to-month,21.44,215.2,Bank transfer,10,0.0,2026-07-24,Yes
CUST101268,Male,46,27,Basic,One year,15.0,400.05,Mailed check,12,0.0,2026-06-24,Yes
CUST100058,Male,41,38,Standard,Month-to-month,41.96,1622.84,E-check,10,0.0,2026-07-29,No
CUST101506,Female,47,4,Premium,Two year,87.95,369.56,Bank transfer,17,3.0,2026-07-13,No
CUST100862,Female,32,22,Premium,Two year,89.49,1964.16,Credit card,15,1.0,2026-07-16,No
CUST101876,Male,38,66,Standard,Two year,64.67,4234.78,E-check,14,1.0,2026-07-27,No
CUST101332,Male,38,29,Standard,Month-to-month,50.79,1467.02,Bank transfer,17,2.0,2026-07-16,Yes
CUST101164,Male,69,64,Standard,Month-to-month,55.06,3521.65,E-check,9,2.0,2026-07-23,Yes
CUST101315,Female,56,53,Standard,Month-to-month,61.46,3233.74,Bank transfer,12,1.0,2026-07-05,No
CUST101414,Female,54,61,Basic,Two year,31.52,1931.09,Credit card,16,0.0,2026-07-31,No
CUST100611,Female,37,20,Standard,Month-to-month,52.28,1016.12,Credit card,16,1.0,2026-07-25,No
CUST100034,Female,24,32,Basic,Month-to-month,25.86,793.58,E-check,11,0.0,2026-07-26,No
CUST100830,Male,26,52,Standard,Month-to-month,54.45,2821.14,E-check,13,1.0,2026-07-22,No
CUST101826,Female,59,55,Basic,One year,19.25,1072.89,Mailed check,6,4.0,2026-07-01,Yes
CUST100360,Female,32,36,Basic,Month-to-month,31.9,1147.83,Mailed check,6,1.0,2026-04-04,No
CUST101049,Male,35,68,Standard,Month-to-month,56.2,3789.08,Bank transfer,8,1.0,2026-07-26,No
CUST101648,Male,63,55,Basic,Month-to-month,15.0,782.66,Credit card,7,1.0,2026-08-01,No
CUST101899,Female,49,62,Standard,Month-to-month,65.82,4071.67,E-check,14,0.0,2026-07-04,No
CUST100595,Female,46,28,Standard,Month-to-month,56.83,1591.33,Mailed check,11,2.0,2026-08-01,No
CUST101278,Male,22,46,Basic,One year,44.07,2025.98,E-check,18,1.0,2026-07-24,No
CUST100590,Male,20,55,Premium,Two year,92.97,5076.83,Mailed check,14,0.0,2026-06-28,No
CUST100653,Male,54,52,Standard,Month-to-month,51.75,2686.85,Credit card,11,2.0,2026-07-22,No
CUST100915,Female,40,61,Basic,Two year,15.57,955.92,Credit card,11,0.0,2026-08-01,No
CUST100769,Male,69,27,Basic,Month-to-month,27.78,743.75,Bank transfer,11,1.0,2026-07-27,No
CUST100452,Female,65,30,Standard,Month-to-month,46.82,1415.04,Bank transfer,17,1.0,2026-07-23,No
CUST101816,Female,35,41,Standard,One year,55.37,2298.11,Mailed check,11,1.0,2026-07-30,No
CUST100587,Male,49,12,Premium,Two year,89.74,1099.61,Credit card,8,2.0,2026-06-07,No
CUST100007,Male,38,3,Standard,Two year,63.98,193.32,Credit card,10,2.0,2026-07-29,Yes
CUST101766,Female,71,7,Standard,Month-to-month,57.39,407.37,Bank transfer,19,2.0,2026-07-26,No
CUST100705,Male,71,3,Basic,Month-to-month,30.63,87.88,Mailed check,7,4.0,2026-07-30,Yes
CUST101318,Female,69,64,Basic,Two year,30.97,1966.15,Mailed check,13,4.0,2026-07-18,No
CUST101353,Female,49,63,Standard,Month-to-month,45.74,2893.23,Mailed check,11,2.0,2026-06-03,No
CUST100020,Female,43,60,Basic,Month-to-month,29.74,1763.77,Credit card,13,5.0,2026-07-23,No
CUST101153,Female,23,32,Basic,Month-to-month,35.2,1138.36,Mailed check,16,1.0,2026-07-25,No
CUST101190,Male,39,6,Standard,Month-to-month,51.22,294.48,Bank transfer,12,2.0,2026-07-17,Yes
CUST101075,Male,26,65,Basic,Month-to-month,17.87,1171.85,Credit card,9,2.0,2026-07-23,No
CUST100206,Female,28,48,Standard,Month-to-month,62.01,2957.67,Mailed check,16,1.0,2026-07-13,Yes
CUST100816,Male,65,9,Standard,Month-to-month,63.69,602.38,E-check,10,0.0,2026-07-29,No
CUST100415,Male,35,40,Basic,Month-to-month,25.55,1018.67,Mailed check,9,0.0,2026-07-15,No
CUST101625,Male,72,25,Standard,Month-to-month,69.33,1742.0,Mailed check,14,0.0,2026-07-30,No
CUST100927,Female,21,15,Basic,Month-to-month,38.24,553.89,Credit card,14,2.0,2026-06-24,No
CUST100720,Female,45,16,Standard,One year,42.63,676.16,Bank transfer,7,1.0,2026-06-30,No
CUST101631,Male,64,30,Premium,Month-to-month,87.63,2663.97,E-check,9,2.0,2026-08-01,Yes
CUST100731,Male,37,67,Standard,Month-to-month,55.1,3669.06,Credit card,8,1.0,2026-06-24,Yes
CUST100217,Male,59,58,Basic,Month-to-month,16.3,942.06,E-check,8,2.0,2026-07-03,No
CUST100419,Female,44,16,Basic,One year,15.0,235.87,Credit card,14,2.0,2026-06-09,No
CUST101251,Female,25,65,Basic,One year,19.82,1288.97,Credit card,9,0.0,2026-07-14,No
CUST100986,Female,71,64,Basic,Month-to-month,38.15,2451.22,E-check,12,1.0,2026-07-21,No
CUST101635,Male,41,68,Premium,Month-to-month,97.19,6594.06,Mailed check,12,3.0,2026-07-26,Yes
CUST100921,Male,32,38,Premium,Month-to-month,86.06,3300.03,Credit card,10,1.0,2026-07-26,Yes
CUST100970,Female,73,31,Basic,Two year,22.1,696.93,Bank transfer,12,1.0,2026-07-25,No
CUST101312,Male,69,25,Premium,Month-to-month,82.25,2068.39,Mailed check,11,1.0,2026-07-24,No
CUST101717,Male,56,44,Standard,Two year,61.58,2753.71,E-check,12,0.0,2026-07-15,Yes
CUST101564,Male,50,21,Basic,One year,35.07,754.8,Mailed check,10,1.0,2026-07-06,No
CUST101846,Female,29,43,Basic,Month-to-month,24.38,1047.01,Bank transfer,10,0.0,2026-06-06,No
CUST100797,Male,34,38,Standard,One year,66.96,2528.87,Bank transfer,14,3.0,2026-07-05,No
CUST101260,Male,49,35,Basic,Month-to-month,27.49,960.89,Bank transfer,9,4.0,2026-07-31,No
CUST101794,Female,59,16,Basic,One year,42.09,659.63,Mailed check,18,0.0,2026-06-20,No
CUST100528,Female,28,16,Standard,Two year,52.84,891.05,Bank transfer,14,0.0,2026-07-10,No
CUST101753,Male,23,29,Basic,One year,15.28,428.29,E-check,15,1.0,2026-06-18,No
CUST100051,Female,52,32,Standard,Month-to-month,39.59,1226.25,Mailed check,6,1.0,2026-07-30,No
CUST100036,Female,32,51,Basic,One year,22.34,1167.88,Mailed check,14,2.0,2026-07-25,No
CUST101046,Male,52,65,Basic,One year,18.77,1260.15,E-check,20,0.0,2026-06-23,Yes
CUST101280,Female,51,28,Basic,Month-to-month,38.33,1053.22,Bank transfer,8,0.0,2026-05-28,No
CUST101483,Male,30,57,Standard,Month-to-month,74.46,4226.85,E-check,19,1.0,2026-07-26,No
CUST100562,Male,40,33,Basic,Month-to-month,15.86,496.05,E-check,6,0.0,2026-06-27,No
CUST100396,Female,38,18,Basic,Month-to-month,20.04,340.97,Credit card,7,2.0,2026-07-11,No
CUST101647,Female,55,52,Standard,One year,56.89,2924.82,Mailed check,13,0.0,2026-07-08,No
CUST101125,Female,74,24,Standard,Month-to-month,44.23,1080.82,Bank transfer,10,3.0,2026-07-17,No
CUST100751,Male,60,14,Premium,One year,84.96,1185.14,Credit card,17,4.0,2026-07-03,No
CUST101138,Female,40,38,Premium,One year,75.51,2864.51,E-check,6,1.0,2026-07-29,No
CUST101317,Female,54,55,Basic,Two year,28.69,1557.71,Unknown,16,1.0,2026-07-25,No
CUST100350,Female,53,26,Standard,Two year,68.39,1793.63,Bank transfer,9,0.0,2026-07-15,No
CUST101025,Female,51,68,Premium,Month-to-month,89.86,6118.15,E-check,12,0.0,2026-07-25,No
CUST101904,Male,21,55,Premium,Month-to-month,78.3,4328.37,Bank transfer,9,0.0,2026-07-23,Yes
CUST100525,Male,61,52,Premium,Month-to-month,89.21,4617.12,Bank transfer,14,0.0,2026-06-18,No
CUST100820,Male,45,33,Basic,One year,15.0,494.23,Bank transfer,13,0.0,2026-07-31,No
CUST100441,Female,32,44,Standard,Month-to-month,65.45,2921.6,Mailed check,8,0.0,2026-07-20,No
CUST100146,Male,60,67,Basic,Month-to-month,28.29,1852.65,E-check,11,1.0,2026-07-16,No
CUST101618,Female,70,9,Standard,One year,51.8,432.95,Mailed check,12,0.0,2026-07-16,No
CUST100946,Male,59,35,Basic,Month-to-month,21.78,746.79,Mailed check,5,2.0,2026-08-01,Yes
CUST100863,Female,38,14,Basic,Month-to-month,15.0,226.27,Bank transfer,20,0.0,2026-06-03,Yes
CUST100237,Female,45,32,Basic,Month-to-month,18.8,630.89,Credit card,17,0.0,2026-07-31,No
CUST101872,Male,23,17,Standard,Month-to-month,56.06,947.4,Mailed check,11,2.0,2026-07-09,No
CUST100561,Male,29,30,Basic,One year,17.84,566.96,Credit card,12,0.0,2026-07-06,No
CUST100669,Male,42,53,Premium,Month-to-month,98.93,5270.19,Bank transfer,19,3.0,2026-07-09,Yes
CUST100928,Female,38,58,Premium,Month-to-month,94.07,5452.26,E-check,11,1.0,2026-05-29,No
CUST101715,Female,31,3,Basic,Month-to-month,23.76,86.68,Credit card,9,2.0,2026-07-28,No
CUST101640,Female,55,43,Standard,Month-to-month,60.65,2583.13,Bank transfer,15,4.0,2026-07-20,No
CUST100754,Female,67,45,Premium,Month-to-month,96.45,4337.13,Credit card,12,0.0,2026-07-19,Yes
CUST101968,Male,24,19,Standard,Month-to-month,44.78,838.14,Bank transfer,9,4.0,2026-07-23,Yes
CUST101323,Female,39,18,Premium,Two year,96.49,1752.35,Mailed check,15,2.0,2026-06-21,No
CUST101446,Female,47,47,Basic,One year,15.0,703.8,Mailed check,11,2.0,2026-07-23,No
CUST100500,Male,49,2,Basic,Month-to-month,28.18,63.37,Bank transfer,15,0.0,2026-05-22,Yes
CUST100438,Male,20,34,Standard,Month-to-month,61.46,2088.57,E-check,18,0.0,2026-06-02,No
CUST101934,Male,56,14,Basic,Month-to-month,20.5,251.96,Credit card,13,0.0,2026-07-27,No
CUST100663,Female,42,9,Standard,Month-to-month,68.38,620.0,Credit card,11,0.0,2026-07-17,Yes
CUST101976,Male,57,70,Basic,Month-to-month,23.54,1597.25,E-check,10,0.0,2026-06-27,No
CUST100725,Male,37,24,Premium,Month-to-month,95.7,2282.45,Bank transfer,9,1.0,2026-07-10,No
CUST101287,Female,73,48,Basic,Month-to-month,15.0,711.88,Bank transfer,8,0.0,2026-07-19,No
CUST100262,Male,50,50,Premium,Two year,106.84,5327.19,Credit card,12,1.0,2026-07-11,No
CUST100141,Male,41,66,Standard,Two year,55.46,3681.66,Bank transfer,10,3.0,2026-05-21,No
CUST100351,Male,52,45,Basic,One year,25.28,1151.78,Mailed check,15,1.0,2026-07-27,No
CUST100367,Female,63,58,Standard,One year,62.16,3583.1,Mailed check,14,1.0,2026-07-01,No
CUST101861,Female,51,61,Premium,One year,87.94,5371.95,E-check,9,3.0,2026-07-30,No
CUST100311,Male,52,38,Standard,One year,50.23,1911.45,Mailed check,8,0.0,2026-07-27,No
CUST101127,Female,33,14,Basic,Month-to-month,15.0,227.59,Mailed check,16,1.0,2026-07-18,No
CUST101985,Female,65,36,Standard,Month-to-month,55.92,2028.01,E-check,18,0.0,2026-06-28,Yes
CUST100454,Male,39,42,Basic,One year,33.38,1422.01,Bank transfer,11,2.0,2026-06-28,No
CUST101293,Male,52,16,Standard,Month-to-month,48.73,798.79,Credit card,13,1.0,2026-07-28,Yes
CUST101683,Male,70,3,Premium,Month-to-month,80.85,257.11,Mailed check,7,0.0,2026-07-09,Yes
CUST101634,Male,27,61,Standard,Two year,69.72,4247.22,Mailed check,14,1.0,2026-07-04,No
CUST101172,Male,19,36,Basic,Month-to-month,30.46,1099.39,E-check,8,0.0,2026-06-26,Yes
CUST100341,Female,39,3,Premium,Month-to-month,77.78,214.15,Credit card,10,0.0,2026-06-14,Yes
CUST100683,Female,64,58,Basic,Month-to-month,31.07,1809.11,Credit card,17,2.0,2026-07-24,No
CUST100961,Male,27,2,Basic,Month-to-month,26.06,22.71,Mailed check,9,1.0,2026-07-24,No
CUST101791,Female,33,65,Standard,Two year,55.76,3642.43,Credit card,6,1.0,2026-07-02,No
CUST100855,Male,24,46,Standard,Two year,78.89,3635.59,E-check,22,0.0,2026-07-29,No
CUST101417,Male,25,37,Standard,Month-to-month,53.62,2018.72,E-check,10,1.0,2026-07-04,No
CUST100179,Male,71,71,Basic,Month-to-month,15.0,1027.29,Bank transfer,10,1.0,2026-06-25,No
CUST100977,Female,18,13,Premium,Two year,79.45,1016.46,E-check,17,2.0,2026-07-20,No
CUST100806,Female,42,41,Basic,Month-to-month,32.81,1332.87,Bank transfer,15,0.0,2026-07-20,Yes
CUST100397,Female,64,36,Basic,Two year,17.95,614.83,Credit card,7,0.0,2026-07-17,No
CUST101313,Male,53,15,Basic,Two year,25.19,356.38,Credit card,12,2.0,2026-07-13,Yes
CUST100340,Male,18,30,Standard,One year,55.53,1698.75,Credit card,8,0.0,2026-07-14,No
CUST100596,Male,71,32,Basic,Month-to-month,23.0,727.0,Credit card,14,2.0,2026-07-30,No
CUST101133,Male,37,42,Basic,Month-to-month,26.29,1089.09,Mailed check,18,0.0,2026-07-23,No
CUST101949,Male,45,4,Premium,Month-to-month,97.78,395.63,Mailed check,13,3.0,2026-07-29,Yes
CUST100479,Female,58,24,Basic,Month-to-month,32.15,732.06,E-check,6,2.0,2026-07-23,Yes
CUST100804,Female,44,41,Basic,Month-to-month,33.39,1380.82,E-check,12,0.0,2026-06-17,Yes
CUST100729,Female,26,52,Basic,Two year,15.0,778.8,E-check,16,2.0,2026-05-26,No
CUST101027,Male,72,46,Standard,Two year,55.56,2546.87,Mailed check,13,1.0,2026-07-31,Yes
CUST100071,Female,56,62,Premium,One year,87.94,5476.53,Bank transfer,8,1.0,2026-06-24,No
CUST101169,Male,40,59,Basic,Two year,24.79,1469.31,Credit card,13,4.0,2026-07-25,No
CUST101733,Female,23,58,Standard,Month-to-month,46.54,2693.17,Credit card,14,1.0,2026-07-30,Yes
CUST101723,Female,69,0,Basic,Month-to-month,31.36,0.0,E-check,11,0.0,2026-07-22,No
CUST100308,Female,51,56,Standard,Month-to-month,45.82,2569.79,Bank transfer,11,1.0,2026-08-01,Yes
CUST100571,Male,53,5,Premium,Month-to-month,85.28,445.82,E-check,5,0.0,2026-07-23,No
CUST101888,Male,56,58,Premium,One year,93.03,5416.4,Bank transfer,14,1.0,2026-07-31,No
CUST100298,Male,19,31,Basic,Month-to-month,24.82,780.88,Mailed check,11,1.0,2026-07-26,Yes
CUST100200,Male,42,45,Basic,Two year,24.28,1089.85,Credit card,8,1.0,2026-07-09,No
CUST101905,Female,63,33,Basic,Month-to-month,28.45,953.97,Bank transfer,7,0.0,2026-07-17,No
CUST101509,Female,61,11,Basic,One year,20.28,199.99,Mailed check,9,0.0,2026-07-07,No
CUST101122,Male,33,53,Basic,One year,30.83,1640.52,Credit card,10,1.0,2026-07-30,No
CUST101741,Female,63,16,Premium,Month-to-month,88.2,1407.95,Mailed check,15,0.0,2026-07-09,No
CUST101334,Female,55,17,Standard,One year,55.59,942.44,Mailed check,15,3.0,2026-07-30,Yes
CUST100504,Male,50,33,Standard,One year,48.04,1592.76,Credit card,11,1.0,2026-07-17,No
CUST100779,Male,25,10,Standard,One year,54.71,526.31,Bank transfer,12,0.0,2026-08-01,No
CUST100620,Female,51,17,Standard,Month-to-month,74.51,1295.1,Credit card,12,0.0,2026-06-07,Yes
CUST101600,Female,44,19,Basic,Month-to-month,32.61,607.39,Credit card,9,3.0,2026-07-18,Yes
CUST101139,Male,45,22,Standard,One year,46.96,1020.49,E-check,13,0.0,2026-07-31,Yes
CUST101020,Male,22,58,Standard,Month-to-month,36.29,2107.99,Bank transfer,18,2.0,2026-07-24,No
CUST100116,Male,56,32,Basic,One year,26.4,862.59,Mailed check,11,0.0,2026-07-17,No
CUST101671,Male,36,17,Premium,One year,72.2,1224.51,Mailed check,15,1.0,2026-07-18,No
CUST101779,Female,59,22,Basic,Month-to-month,16.8,367.65,E-check,12,2.0,2026-03-29,No
CUST100004,Male,36,29,Premium,Month-to-month,98.91,2864.01,Mailed check,7,1.0,2026-07-24,No
CUST100651,Female,19,53,Basic,Two year,35.38,1874.54,Credit card,13,0.0,2026-07-23,No
CUST100046,Female,35,16,Standard,One year,49.42,760.32,Mailed check,10,2.0,2026-07-25,No
CUST100328,Female,37,34,Basic,Month-to-month,15.0,532.44,Bank transfer,12,1.0,2026-07-17,No
CUST100278,Male,74,11,Standard,Two year,58.84,640.61,Unknown,8,0.0,2026-07-05,No
CUST100455,Male,71,66,Standard,Month-to-month,47.43,3122.1,Bank transfer,13,0.0,2026-07-12,No
